K,objective,seed,shots,domain,accuracy
19,fad,42,5,other,0.5645317026070165
19,fad,42,5,social_sciences,0.601884952876178
19,fad,42,5,stem,0.43799555978433236
19,kl,43,0,humanities,0.32539851222104144
19,kl,43,0,other,0.43997425168973286
19,kl,43,0,social_sciences,0.4566135846603835
19,kl,43,0,stem,0.3549000951474786
19,kl,43,5,humanities,0.3649309245483528
19,kl,43,5,other,0.5004827808175089
19,kl,43,5,social_sciences,0.5027624309392266
19,kl,43,5,stem,0.3970821439898509
19,hidden,43,0,humanities,0.3893730074388948
19,hidden,43,0,other,0.5242999678146122
19,hidden,43,0,social_sciences,0.528436789080273
19,hidden,43,0,stem,0.4059625753250872
19,hidden,43,5,humanities,0.3997874601487779
19,hidden,43,5,other,0.5384615384615384
19,hidden,43,5,social_sciences,0.5326616834579135
19,hidden,43,5,stem,0.4164287979701871
19,ambient,43,0,humanities,0.3806588735387885
19,ambient,43,0,other,0.47183778564531703
19,ambient,43,0,social_sciences,0.47058823529411764
19,ambient,43,0,stem,0.37392959086584204
19,ambient,43,5,humanities,0.3846971307120085
19,ambient,43,5,other,0.49275828773736724
19,ambient,43,5,social_sciences,0.48846278843028923
19,ambient,43,5,stem,0.3888360291785601
19,fad,43,0,humanities,0.3985122210414453
19,fad,43,0,other,0.5162536208561314
19,fad,43,0,social_sciences,0.5388365290867728
19,fad,43,0,stem,0.4059625753250872
19,fad,43,5,humanities,0.4669500531349628
19,fad,43,5,other,0.5851303508207274
19,fad,43,5,social_sciences,0.6129346766330842
19,fad,43,5,stem,0.44370440849984144
