shots,baseline,subject,seed_mean_delta,seed_median_delta,positive_seeds
5,isotropic,clinical_knowledge,0.040251572327044016,0.030188679245283012,3
5,isotropic,college_biology,0.00694444444444442,0.01388888888888884,2
5,isotropic,college_chemistry,0.1366666666666667,0.13,3
5,isotropic,college_computer_science,0.09666666666666668,0.10000000000000003,3
5,isotropic,college_mathematics,0.03999999999999999,0.020000000000000018,3
5,isotropic,college_medicine,0.05780346820809251,0.07514450867052025,2
5,isotropic,college_physics,0.013071895424836591,0.0,1
5,isotropic,computer_security,0.06000000000000002,0.06000000000000005,3
5,isotropic,conceptual_physics,0.0524822695035461,0.04255319148936171,3
5,isotropic,econometrics,-0.0029239766081871252,0.017543859649122806,2
5,isotropic,electrical_engineering,-0.07586206896551723,-0.096551724137931,0
5,isotropic,elementary_mathematics,0.0026455026455026545,0.018518518518518545,2
5,isotropic,formal_logic,0.07671957671957673,0.05555555555555558,3
5,isotropic,global_facts,0.02666666666666666,0.04000000000000001,2
5,isotropic,high_school_biology,0.06559139784946237,0.06774193548387097,3
5,isotropic,high_school_chemistry,0.031198686371100143,0.014778325123152691,3
5,isotropic,high_school_computer_science,0.02666666666666669,0.050000000000000044,2
5,isotropic,high_school_european_history,-0.022222222222222216,-0.06060606060606055,1
5,isotropic,high_school_geography,0.03872053872053871,0.03535353535353536,2
5,isotropic,high_school_government_and_politics,0.027633851468048348,0.005181347150259086,2
5,isotropic,high_school_macroeconomics,0.0863247863247863,0.08974358974358976,3
5,isotropic,high_school_mathematics,0.0024691358024691392,0.011111111111111127,2
5,isotropic,high_school_microeconomics,0.019607843137254905,-0.008403361344537785,1
5,isotropic,high_school_physics,-0.02207505518763797,-0.019867549668874163,0
5,isotropic,high_school_psychology,0.047706422018348627,0.031192660550458773,3
5,isotropic,high_school_statistics,0.060185185185185154,0.06018518518518512,3
5,isotropic,high_school_us_history,-0.026143790849673183,-0.05392156862745101,1
5,isotropic,high_school_world_history,0.023909985935302396,-0.008438818565400852,1
5,isotropic,human_aging,0.03587443946188338,0.05829596412556054,2
5,isotropic,human_sexuality,0.0916030534351145,0.05343511450381677,3
5,isotropic,international_law,0.01377410468319562,0.008264462809917439,2
5,isotropic,jurisprudence,0.07098765432098768,0.08333333333333337,3
5,isotropic,logical_fallacies,-0.008179959100204526,-0.012269938650306789,1
5,isotropic,machine_learning,0.059523809523809534,0.0535714285714286,3
5,isotropic,management,0.10032362459546924,0.10679611650485432,3
5,isotropic,marketing,0.024216524216524205,0.02564102564102555,2
5,isotropic,medical_genetics,0.030000000000000065,0.06000000000000005,2
5,isotropic,miscellaneous,0.047679863771817765,0.04469987228607919,3
5,isotropic,moral_disputes,0.08188824662813099,0.07803468208092479,3
5,isotropic,moral_scenarios,0.019739292364990686,0.013407821229050265,2
5,isotropic,nutrition,-0.004357298474945592,0.006535947712418277,2
5,isotropic,philosophy,0.1061093247588424,0.07073954983922826,3
5,isotropic,prehistory,0.015432098765432093,0.024691358024691357,2
5,isotropic,professional_accounting,0.017730496453900697,0.024822695035460973,2
5,isotropic,professional_law,0.03346371142981314,0.01694915254237289,3
5,isotropic,professional_medicine,0.09803921568627451,0.0845588235294118,3
5,isotropic,professional_psychology,-0.008169934640522902,-0.011437908496732097,1
5,isotropic,public_relations,0.03939393939393939,0.045454545454545414,3
5,isotropic,security_studies,0.06394557823129253,0.06938775510204087,3
5,isotropic,sociology,0.08291873963515754,0.08457711442786064,3
5,isotropic,us_foreign_policy,0.05333333333333338,0.06000000000000005,2
5,isotropic,virology,0.1004016064257028,0.09638554216867468,3
5,isotropic,world_religions,0.01949317738791419,0.011695906432748537,2
